LineID,OrderID,Date,ShipDate,CustomerKey,ProductKey,GeoKey,ModeKey,OutcomeKey,PromisedDays,ActualDays,DaysLate,IsLate,Quantity,UnitPrice,GrossSales,DiscountRate,Discount,NetSales,Profit
1,1,2015-01-01,2015-01-03,11599,957,100,4,1,4,2,-2,No,1,299.98,299.98,0.2,60.0,239.98,88.79
2,2,2015-01-01,2015-01-04,256,1073,107,4,6,4,3,-1,No,1,199.99,199.99,0.03,6.0,193.99,91.18
3,2,2015-01-01,2015-01-04,256,502,107,4,6,4,3,-1,No,5,50.0,250.0,0.09,22.5,227.5,68.25
4,2,2015-01-01,2015-01-04,256,403,107,4,6,4,3,-1,No,1,129.99,129.99,0.17,22.1,107.89,36.47
5,4,2015-01-01,2015-01-06,8827,897,107,4,8,4,5,1,Yes,2,24.99,49.98,0.18,9.0,40.98,4.1
6,4,2015-01-01,2015-01-06,8827,365,107,4,8,4,5,1,Yes,5,59.99,299.95,0.01,3.0,296.95,26.13
7,4,2015-01-01,2015-01-06,8827,502,107,4,8,4,5,1,Yes,3,50.0,150.0,0.18,27.0,123.0,60.27
8,4,2015-01-01,2015-01-06,8827,1014,107,4,8,4,5,1,Yes,4,49.98,199.92,0.2,39.98,159.94,33.59
9,5,2015-01-01,2015-01-07,11318,957,107,4,9,4,6,2,Yes,1,299.98,299.98,0.18,54.0,245.98,92.24
10,5,2015-01-01,2015-01-07,11318,365,107,4,9,4,6,2,Yes,5,59.99,299.95,0.0,0.0,299.95,143.98
11,5,2015-01-01,2015-01-07,11318,1014,107,4,9,4,6,2,Yes,2,49.98,99.96,0.17,16.99,82.97,9.38
12,5,2015-01-01,2015-01-07,11318,957,107,4,9,4,6,2,Yes,1,299.98,299.98,0.17,51.0,248.98,109.55
13,5,2015-01-01,2015-01-07,11318,403,107,4,9,4,6,2,Yes,1,129.99,129.99,0.16,20.8,109.19,34.94
14,7,2015-01-01,2015-01-04,4530,1073,105,3,9,2,3,1,Yes,1,199.99,199.99,0.02,4.0,195.99,78.4
15,7,2015-01-01,2015-01-04,4530,957,105,3,9,2,3,1,Yes,1,299.98,299.98,0.16,48.0,251.98,120.95
16,7,2015-01-01,2015-01-04,4530,926,105,3,9,2,3,1,Yes,5,15.99,79.95,0.03,2.4,77.55,4.58
17,8,2015-01-01,2015-01-05,2911,365,105,4,23,4,4,0,No,3,59.99,179.97,0.17,30.59,149.38,16.88
18,8,2015-01-01,2015-01-05,2911,365,105,4,23,4,4,0,No,5,59.99,299.95,0.25,74.99,224.96,73.11
19,8,2015-01-01,2015-01-05,2911,1014,105,4,23,4,4,0,No,4,49.98,199.92,0.18,35.99,163.93,-131.15
20,8,2015-01-01,2015-01-05,2911,502,105,4,23,4,4,0,No,1,50.0,50.0,0.01,0.5,49.5,1.49
21,9,2015-01-01,2015-01-06,5657,191,105,4,13,4,5,1,Yes,2,99.99,199.98,0.05,10.0,189.98,3.8
22,9,2015-01-01,2015-01-06,5657,1073,105,4,13,4,5,1,Yes,1,199.99,199.99,0.01,2.0,197.99,19.8
23,9,2015-01-01,2015-01-06,5657,1073,105,4,13,4,5,1,Yes,1,199.99,199.99,0.0,0.0,199.99,96.0
24,10,2015-01-01,2015-01-07,5648,1073,105,4,13,4,6,2,Yes,1,199.99,199.99,0.25,50.0,149.99,72.0
25,10,2015-01-01,2015-01-07,5648,1014,105,4,13,4,6,2,Yes,2,49.98,99.96,0.16,15.99,83.97,22.67
26,10,2015-01-01,2015-01-07,5648,403,105,4,13,4,6,2,Yes,1,129.99,129.99,0.15,19.5,110.49,28.73
27,10,2015-01-01,2015-01-07,5648,917,105,4,13,4,6,2,Yes,1,21.99,21.99,0.03,0.66,21.33,-15.64
28,10,2015-01-01,2015-01-07,5648,1073,105,4,13,4,6,2,Yes,1,199.99,199.99,0.2,40.0,159.99,-14.08
29,11,2015-01-01,2015-01-03,918,365,105,4,4,4,2,-2,No,1,59.99,59.99,0.2,12.0,47.99,16.8
30,11,2015-01-01,2015-01-03,918,627,105,4,4,4,2,-2,No,4,39.99,159.96,0.05,8.0,151.96,56.99
31,11,2015-01-01,2015-01-03,918,1014,105,4,4,4,2,-2,No,1,49.98,49.98,0.17,8.5,41.48,19.5
32,11,2015-01-01,2015-01-03,918,191,105,4,4,4,2,-2,No,4,99.99,399.96,0.06,22.0,377.96,117.17
33,11,2015-01-01,2015-01-03,918,1014,105,4,4,4,2,-2,No,5,49.98,249.9,0.09,22.49,227.41,62.54
34,12,2015-01-01,2015-01-04,1837,957,101,4,1,4,3,-1,No,1,299.98,299.98,0.15,45.0,254.98,86.18
35,12,2015-01-01,2015-01-04,1837,134,101,4,1,4,3,-1,No,4,25.0,100.0,0.13,13.0,87.0,23.49
36,12,2015-01-01,2015-01-04,1837,1014,101,4,1,4,3,-1,No,3,49.98,149.94,0.12,17.99,131.95,47.9
37,12,2015-01-01,2015-01-04,1837,191,101,4,1,4,3,-1,No,5,99.99,499.95,0.02,10.0,489.95,146.99
38,12,2015-01-01,2015-01-04,1837,502,101,4,1,4,3,-1,No,5,50.0,250.0,0.07,17.5,232.5,102.3
39,13,2015-01-01,2015-01-05,9149,276,101,4,22,4,4,0,No,4,31.99,127.96,0.2,25.59,102.37,47.09
40,14,2015-01-01,2015-01-06,9842,1004,101,4,14,4,5,1,Yes,1,399.98,399.98,0.18,72.0,327.98,85.28
41,14,2015-01-01,2015-01-06,9842,1014,101,4,14,4,5,1,Yes,2,49.98,99.96,0.15,14.99,84.97,-10.62
42,14,2015-01-01,2015-01-06,9842,502,101,4,14,4,5,1,Yes,1,50.0,50.0,0.0,0.0,50.0,-40.0
43,15,2015-01-01,2015-01-07,2568,502,105,4,9,4,6,2,Yes,1,50.0,50.0,0.25,12.5,37.5,-61.88
44,15,2015-01-01,2015-01-07,2568,1073,105,4,9,4,6,2,Yes,1,199.99,199.99,0.18,36.0,163.99,-254.19
45,15,2015-01-01,2015-01-07,2568,828,105,4,9,4,6,2,Yes,3,31.99,95.97,0.07,6.72,89.25,-21.24
46,15,2015-01-01,2015-01-07,2568,365,105,4,9,4,6,2,Yes,3,59.99,179.97,0.16,28.8,151.17,-72.56
47,15,2015-01-01,2015-01-07,2568,1004,105,4,9,4,6,2,Yes,1,399.98,399.98,0.17,68.0,331.98,-121.84
48,16,2015-01-01,2015-01-03,7276,365,105,4,6,4,2,-2,No,2,59.99,119.98,0.07,8.4,111.58,41.84
49,16,2015-01-01,2015-01-03,7276,365,105,4,6,4,2,-2,No,5,59.99,299.95,0.2,59.99,239.96,24.0
50,17,2015-01-01,2015-01-04,2667,810,102,4,2,4,3,-1,No,4,19.99,79.96,0.25,19.99,59.97,2.4
51,17,2015-01-01,2015-01-04,2667,1014,102,4,2,4,3,-1,No,2,49.98,99.96,0.13,12.99,86.97,13.04
52,17,2015-01-01,2015-01-04,2667,93,102,4,2,4,3,-1,No,3,24.99,74.97,0.25,18.74,56.23,-0.73
53,17,2015-01-01,2015-01-04,2667,1073,102,4,2,4,3,-1,No,1,199.99,199.99,0.17,34.0,165.99,68.06
54,17,2015-01-01,2015-01-04,2667,365,102,4,2,4,3,-1,No,4,59.99,239.96,0.15,35.99,203.97,93.82
