LineID,OrderID,Date,ShipDate,CustomerKey,ProductKey,GeoKey,ModeKey,OutcomeKey,PromisedDays,ActualDays,DaysLate,IsLate,Quantity,UnitPrice,GrossSales,DiscountRate,Discount,NetSales,Profit
125201,50079,2017-01-01,2017-01-06,4352,957,57,3,9,2,5,3,Yes,1,299.98,299.98,0.0,0.0,299.98,101.39
125202,50079,2017-01-01,2017-01-06,4352,365,57,3,9,2,5,3,Yes,4,59.99,239.96,0.1,24.0,215.96,105.82
125203,50079,2017-01-01,2017-01-06,4352,1014,57,3,9,2,5,3,Yes,2,49.98,99.96,0.16,15.99,83.97,-58.78
125204,50079,2017-01-01,2017-01-06,4352,627,57,3,9,2,5,3,Yes,1,39.99,39.99,0.15,6.0,33.99,15.98
125205,50080,2017-01-01,2017-01-07,2982,365,160,4,13,4,6,2,Yes,1,59.99,59.99,0.17,10.2,49.79,-84.65
125206,50080,2017-01-01,2017-01-07,2982,1004,160,4,13,4,6,2,Yes,1,399.98,399.98,0.05,20.0,379.98,132.99
125207,50080,2017-01-01,2017-01-07,2982,502,160,4,13,4,6,2,Yes,2,50.0,100.0,0.1,10.0,90.0,-10.17
125208,50082,2017-01-01,2017-01-04,7899,403,38,4,6,4,3,-1,No,1,129.99,129.99,0.04,5.2,124.79,59.9
125209,50082,2017-01-01,2017-01-04,7899,191,38,4,6,4,3,-1,No,5,99.99,499.95,0.05,25.0,474.95,10.45
125210,50082,2017-01-01,2017-01-04,7899,502,38,4,6,4,3,-1,No,5,50.0,250.0,0.13,32.5,217.5,108.75
125211,50082,2017-01-01,2017-01-04,7899,728,38,4,6,4,3,-1,No,2,65.0,130.0,0.05,6.5,123.5,41.74
125212,50083,2017-01-01,2017-01-05,3556,728,38,4,18,4,4,0,No,5,65.0,325.0,0.0,0.0,325.0,-221.0
125213,50083,2017-01-01,2017-01-05,3556,403,38,4,18,4,4,0,No,1,129.99,129.99,0.03,3.9,126.09,20.55
125214,50085,2017-01-01,2017-01-07,3224,885,33,4,14,4,6,2,Yes,4,24.99,99.96,0.15,14.99,84.97,40.78
125215,50085,2017-01-01,2017-01-07,3224,1004,33,4,14,4,6,2,Yes,1,399.98,399.98,0.04,16.0,383.98,176.63
125216,50087,2017-01-01,2017-01-04,11375,191,57,4,2,4,3,-1,No,5,99.99,499.95,0.04,20.0,479.95,126.23
125217,50087,2017-01-01,2017-01-04,11375,403,57,4,2,4,3,-1,No,1,129.99,129.99,0.02,2.6,127.39,8.03
125218,50087,2017-01-01,2017-01-04,11375,821,57,4,2,4,3,-1,No,5,51.99,259.95,0.04,10.4,249.55,-424.24
125219,50087,2017-01-01,2017-01-04,11375,365,57,4,2,4,3,-1,No,4,59.99,239.96,0.09,21.6,218.36,61.14
125220,50088,2017-01-01,2017-01-05,3523,1014,160,4,23,4,4,0,No,2,49.98,99.96,0.13,12.99,86.97,10.87
125221,50088,2017-01-01,2017-01-05,3523,1004,160,4,23,4,4,0,No,1,399.98,399.98,0.03,12.0,387.98,-48.5
125222,50088,2017-01-01,2017-01-05,3523,957,160,4,23,4,4,0,No,1,299.98,299.98,0.25,75.0,224.99,-56.25
125223,50088,2017-01-01,2017-01-05,3523,1073,160,4,23,4,4,0,No,1,199.99,199.99,0.2,40.0,159.99,41.6
125224,50088,2017-01-01,2017-01-05,3523,627,160,4,23,4,4,0,No,2,39.99,79.98,0.2,16.0,63.98,21.75
125225,50089,2017-01-01,2017-01-06,1857,403,160,4,16,4,5,1,No,1,129.99,129.99,0.01,1.3,128.69,29.6
125226,50089,2017-01-01,2017-01-06,1857,365,160,4,16,4,5,1,No,3,59.99,179.97,0.04,7.2,172.77,15.2
125227,50089,2017-01-01,2017-01-06,1857,957,160,4,16,4,5,1,No,1,299.98,299.98,0.2,60.0,239.98,-95.99
125228,50090,2017-01-01,2017-01-03,10926,1004,160,2,14,1,2,1,Yes,1,399.98,399.98,0.02,8.0,391.98,137.19
125229,50090,2017-01-01,2017-01-03,10926,365,160,2,14,1,2,1,Yes,1,59.99,59.99,0.16,9.6,50.39,5.69
125230,50090,2017-01-01,2017-01-03,10926,365,160,2,14,1,2,1,Yes,5,59.99,299.95,0.12,35.99,263.96,82.62
125231,50091,2017-01-01,2017-01-03,12102,1014,160,4,7,4,2,-2,No,5,49.98,249.9,0.18,44.98,204.92,92.21
125232,50091,2017-01-01,2017-01-03,12102,627,160,4,7,4,2,-2,No,2,39.99,79.98,0.18,14.4,65.58,22.95
125233,50092,2017-01-01,2017-01-04,1503,365,160,4,6,4,3,-1,No,1,59.99,59.99,0.15,9.0,50.99,2.55
125234,50093,2017-01-01,2017-01-05,2878,191,160,4,22,4,4,0,No,3,99.99,299.97,0.1,30.0,269.97,5.4
125235,50093,2017-01-01,2017-01-05,2878,1073,160,4,22,4,4,0,No,1,199.99,199.99,0.18,36.0,163.99,59.04
125236,50093,2017-01-01,2017-01-05,2878,403,160,4,22,4,4,0,No,1,129.99,129.99,0.0,0.0,129.99,48.75
125237,50095,2017-01-01,2017-01-03,8463,1014,57,2,11,1,2,1,Yes,2,49.98,99.96,0.12,12.0,87.96,-43.98
125238,50095,2017-01-01,2017-01-03,8463,825,57,2,11,1,2,1,Yes,5,31.99,159.95,0.17,27.19,132.76,61.07
125239,50095,2017-01-01,2017-01-03,8463,502,57,2,11,1,2,1,Yes,1,50.0,50.0,0.06,2.75,47.25,16.07
125240,50095,2017-01-01,2017-01-03,8463,403,57,2,11,1,2,1,Yes,1,129.99,129.99,0.25,32.5,97.49,-133.27
125241,50096,2017-01-01,2017-01-03,4404,502,57,4,5,4,2,-2,No,2,50.0,100.0,0.09,9.0,91.0,-5.19
125242,50096,2017-01-01,2017-01-03,4404,502,57,4,5,4,2,-2,No,4,50.0,200.0,0.02,4.0,196.0,-88.2
125243,50096,2017-01-01,2017-01-03,4404,403,57,4,5,4,2,-2,No,1,129.99,129.99,0.2,26.0,103.99,32.55
125244,50096,2017-01-01,2017-01-03,4404,1014,57,4,5,4,2,-2,No,3,49.98,149.94,0.16,23.99,125.95,40.93
125245,50096,2017-01-01,2017-01-03,4404,502,57,4,5,4,2,-2,No,4,50.0,200.0,0.01,2.0,198.0,22.37
125246,50097,2017-01-01,2017-01-04,10362,957,57,4,1,4,3,-1,No,1,299.98,299.98,0.18,54.0,245.98,83.14
125247,50097,2017-01-01,2017-01-04,10362,502,57,4,1,4,3,-1,No,2,50.0,100.0,0.07,7.0,93.0,34.88
125248,50097,2017-01-01,2017-01-04,10362,1004,57,4,1,4,3,-1,No,1,399.98,399.98,0.01,4.0,395.98,114.83
125249,50100,2017-01-01,2017-01-07,6913,1073,163,4,10,4,6,2,Yes,1,199.99,199.99,0.17,34.0,165.99,45.65
125250,50101,2017-01-01,2017-01-03,9404,1014,160,4,2,4,2,-2,No,1,49.98,49.98,0.01,0.5,49.48,-128.65
125251,50101,2017-01-01,2017-01-03,9404,365,160,4,2,4,2,-2,No,3,59.99,179.97,0.03,5.4,174.57,30.55
125252,50104,2017-01-01,2017-01-06,5012,403,163,4,8,4,5,1,Yes,1,129.99,129.99,0.18,23.4,106.59,49.03
125253,50104,2017-01-01,2017-01-06,5012,365,163,4,8,4,5,1,Yes,3,59.99,179.97,0.02,3.6,176.37,82.89
125254,50104,2017-01-01,2017-01-06,5012,1073,163,4,8,4,5,1,Yes,1,199.99,199.99,0.16,32.0,167.99,78.96
